iter	Passed	Remaining
0	250	232255
1	394	182888
2	535	165519
3	677	156836
4	814	150749
5	947	145897
6	1085	143143
7	1214	139950
8	1347	137851
9	1485	136707
10	1619	135273
11	1760	134670
12	1898	133919
13	2038	133357
14	2182	133112
15	2317	132399
16	2459	132102
17	2606	132069
18	2747	131759
19	2891	131579
20	3031	131238
21	3180	131253
22	3324	131086
23	3470	130998
24	3616	130901
25	3761	130798
26	3908	130709
27	4056	130683
28	4199	130469
29	4334	130024
30	4485	130077
31	4632	130000
32	4773	129758
33	4915	129525
34	5050	129147
35	5188	128844
36	5320	128420
37	5456	128092
38	5602	128004
39	5740	127726
40	5885	127604
41	6026	127419
42	6163	127149
43	6317	127202
44	6461	127074
45	6606	126962
46	6751	126844
47	6902	126835
48	7047	126716
49	7196	126659
50	7341	126530
51	7489	126449
52	7641	126443
53	7783	126271
54	7924	126069
55	8068	125924
56	8216	125842
57	8365	125770
58	8520	125792
59	8676	125815
60	8891	126668
61	9030	126430
62	9178	126318
63	9318	126091
64	9464	125946
65	9604	125731
66	9766	125800
67	9916	125700
68	10050	125408
69	10197	125281
70	10334	125030
71	10486	124965
72	10629	124783
73	10776	124656
74	10939	124709
75	11086	124578
76	11227	124379
77	11365	124150
78	11516	124056
79	11654	123833
80	11792	123607
81	11938	123465
82	12091	123389
83	12240	123280
84	12389	123169
85	12583	123490
86	12723	123287
87	12875	123196
88	13018	123015
89	13169	122913
90	13315	122768
91	13460	122608
92	13612	122514
93	13756	122347
94	13902	122194
95	14037	121953
96	14184	121814
97	14322	121598
98	14490	121628
99	14701	122023
100	14847	121866
101	15001	121779
102	15154	121679
103	15301	121528
104	15439	121313
105	15591	121199
106	15719	120905
107	15874	120826
108	16017	120642
109	16160	120470
110	16307	120325
111	16449	120143
112	16585	119917
113	16735	119788
114	16884	119658
115	17031	119513
116	17178	119367
117	17340	119326
118	17495	119236
119	17637	119055
120	17794	118970
121	17941	118826
122	18096	118729
123	18238	118553
124	18392	118447
125	18547	118349
126	18563	117375
127	18702	117181
128	18865	117140
129	19005	116958
130	19156	116837
131	19296	116657
132	19431	116441
133	19569	116247
134	19727	116173
135	19876	116043
136	20020	115886
137	20168	115751
138	20316	115613
139	20465	115482
140	20481	114610
141	20620	114428
142	20767	114291
143	20914	114158
144	21053	113978
145	21243	114076
146	21381	113887
147	21524	113728
148	21669	113583
149	21819	113461
150	21963	113308
151	22115	113195
152	22256	113027
153	22410	112927
154	22544	112723
155	22697	112616
156	22844	112476
157	22996	112362
158	23158	112295
159	23304	112151
160	23462	112067
161	23609	111926
162	23742	111721
163	23895	111607
164	24036	111442
165	24170	111241
166	24314	111091
167	24479	111032
168	24628	110902
169	24772	110746
170	24914	110587
171	25058	110432
172	25192	110235
173	25330	110057
174	25483	109943
175	25628	109793
176	25775	109656
177	25927	109536
178	26067	109366
179	26209	109207
180	26357	109069
181	26494	108890
182	26634	108722
183	26781	108580
184	26922	108417
185	27054	108219
186	27205	108093
187	27414	108199
188	27573	108106
189	27733	108015
190	27876	107856
191	28022	107712
192	28174	107590
193	28314	107418
194	28464	107289
195	28610	107144
196	28770	107051
197	28917	106905
198	29061	106752
199	29213	106627
200	29379	106555
201	29533	106436
202	29711	106405
203	29860	106268
204	30018	106162
205	30174	106049
206	30305	105850
207	30458	105725
208	30604	105577
209	30754	105444
210	30904	105308
211	31045	105144
212	31186	104980
213	31323	104803
214	31458	104616
215	31603	104468
216	31758	104349
217	31909	104218
218	32057	104076
219	32195	103902
220	32346	103773
221	32497	103639
222	32646	103502
223	32778	103310
224	32937	103205
225	33077	103038
226	33217	102872
227	33414	102882
228	33567	102755
229	33729	102656
230	33880	102520
231	34019	102351
232	34165	102203
233	34298	102015
234	34438	101851
235	34589	101716
236	34717	101515
237	34862	101365
238	35018	101244
239	35147	101048
240	35296	100908
241	35426	100717
242	35555	100521
243	35702	100377
244	35870	100289
245	36021	100156
246	36172	100023
247	36309	99852
248	36457	99709
249	36591	99527
250	36724	99346
251	36866	99189
252	37011	99037
253	37150	98873
254	37288	98705
255	37434	98556
256	37582	98416
257	37729	98271
258	37874	98121
259	38031	98005
260	38178	97860
261	38317	97694
262	38489	97615
263	38640	97480
264	38782	97321
265	38921	97157
266	39056	96982
267	39206	96844
268	39363	96726
269	39538	96649
270	39690	96516
271	39841	96380
272	39996	96255
273	40142	96107
274	40300	95988
275	40457	95867
276	40680	95899
277	40838	95779
278	40968	95594
279	41111	95438
280	41251	95274
281	41397	95126
282	41541	94973
283	41686	94821
284	41838	94687
285	41982	94534
286	42131	94391
287	42275	94238
288	42416	94079
289	42560	93926
290	42713	93793
291	42850	93625
292	43009	93506
293	43163	93374
294	43300	93207
295	43449	93063
296	43593	92910
297	43745	92776
298	43893	92630
299	44039	92482
300	44174	92312
301	44318	92158
302	44457	91995
303	44600	91841
304	44735	91670
305	44877	91515
306	45028	91376
307	45163	91207
308	45298	91037
309	45450	90901
310	45591	90743
311	45733	90587
312	45883	90446
313	46022	90286
314	46168	90137
315	46303	89970
316	46443	89811
317	46587	89659
318	46738	89521
319	46882	89369
320	47016	89199
321	47168	89063
322	47311	88909
323	47459	88767
324	47608	88624
325	47752	88473
326	47886	88304
327	48032	88156
328	48182	88016
329	48309	87835
330	48457	87691
331	48608	87554
332	48742	87385
333	48896	87252
334	49042	87105
335	49180	86944
336	49323	86791
337	49469	86644
338	49622	86510
339	49776	86377
340	49906	86202
341	50047	86046
342	50185	85885
343	50335	85745
344	50466	85574
345	50614	85430
346	50756	85277
347	50892	85113
348	51039	84969
349	51196	84839
350	51332	84676
351	51481	84535
352	51621	84379
353	51760	84220
354	51892	84051
355	52036	83900
356	52174	83742
357	52312	83582
358	52454	83430
359	52601	83286
360	52739	83127
361	52890	82987
362	53039	82846
363	53194	82714
364	53339	82567
365	53480	82411
366	53620	82256
367	53761	82102
368	53901	81948
369	54048	81802
370	54199	81664
371	54342	81514
372	54493	81375
373	54638	81227
374	54784	81081
375	54920	80920
376	55066	80773
377	55202	80613
378	55347	80466
379	55515	80351
380	55660	80203
381	55812	80065
382	55948	79905
383	56093	79758
384	56247	79623
385	56399	79485
386	56542	79335
387	56684	79183
388	56825	79030
389	56969	78881
390	57112	78730
391	57265	78593
392	57401	78433
393	57549	78291
394	57694	78143
395	57839	77996
396	57972	77831
397	58107	77671
398	58241	77508
399	58397	77377
400	58542	77228
401	58681	77074
402	58806	76901
403	58946	76747
404	59103	76615
405	59238	76455
406	59366	76286
407	59511	76139
408	59672	76013
409	59826	75876
410	59969	75728
411	60114	75580
412	60257	75431
413	60393	75272
414	60554	75146
415	60702	75002
416	60839	74845
417	60971	74682
418	61104	74521
419	61238	74360
420	61388	74220
421	61543	74085
422	61700	73953
423	61852	73814
424	62001	73672
425	62142	73520
426	62289	73376
427	62439	73235
428	62593	73098
429	62754	72970
430	62922	72850
431	63072	72708
432	63208	72551
433	63341	72390
434	63475	72231
435	63625	72089
436	63762	71933
437	63899	71778
438	64051	71638
439	64197	71493
440	64391	71400
441	64543	71261
442	64683	71107
443	64836	70969
444	64984	70826
445	65117	70665
446	65249	70504
447	65388	70350
448	65529	70200
449	65670	70048
450	65824	69911
451	65961	69755
452	66091	69593
453	66227	69436
454	66356	69273
455	66486	69110
