#START7777
#2345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234
# YYMMDDHHMI STN  WD   WS GST  GST  GST     PA     PS PT    PR    TA    TD    HM    PV     RN     RN     RN     RN     SD     SD     SD WC WP WW                      CA  CA   CH CT        CT  CT  CT    VS   SS    SI ST    TS    TE    TE    TE    TE  ST   WH BF IR IX
#        KST  ID  16  m/s  WD   WS   TM    hPa    hPa  -   hPa     C     C     %   hPa     mm    DAY    JUN    INT    HR3    DAY    TOT -- -- ---------------------- TOT MID  MIN -------- TOP MID LOW                  GD     C     5    10    20    30 SEA    m --  -  -
202405181300  90  11  2.0  -9 -9.0   -9 1010.8 1012.8 -9  -9.0  25.7  11.0  40.0  13.1   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                       -9  -9   -9 -         -9  -9  -9  5000  1.0  3.56 -9  34.9 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202405181300  93  20  2.7  -9 -9.0   -9 1005.2 1016.1 -9  -9.0  24.7  14.1  52.0  16.1   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                       -9  -9   -9 -         -9  -9  -9    -9  1.0  3.54 -9  38.5  25.4  21.3  18.7  17.7  -9 -9.0 -9  3 -9
202405181300  95  25  2.4  -9 -9.0   -9  998.7 1016.4 -9  -9.0  23.8  14.2  55.0  16.2   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                       -9  -9   -9 -         -9  -9  -9  5009  1.0  2.96 -9  32.6 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202405181300  98  20  2.2  -9 -9.0   -9 1002.9 1016.1 -9  -9.0  24.2  15.9  60.0  18.1   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                       -9  -9   -9 -         -9  -9  -9  4727  0.8  3.09 -9  33.0 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202405181300  99  27  2.9  -9 -9.0   -9 1013.8 1017.3 -9  -9.0  24.1  16.3  62.0  18.5   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                       -9  -9   -9 -         -9  -9  -9  5000  1.0  3.60 -9  34.4 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202405181300 100  27  5.3  27 10.0 1253  928.9 1013.7 -9  -9.0  23.7  -2.0  18.0   5.3   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                       -9  -9   -9 -         -9  -9  -9  5000  1.0  3.71 -9  29.7 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202405181300 101  23  2.5  -9 -9.0   -9 1006.9 1015.6 -9  -9.0  25.3  12.5  45.0  14.5   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                       -9  -9   -9 -         -9  -9  -9  5000  1.0  3.47 -9  34.2  23.5  21.8  19.3  18.1  -9 -9.0 -9  3 -9
202405181300 102  18  7.7  18 13.0 1223 1010.4 1014.6 -9  -9.0  17.5  14.0  80.0  16.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                       -9  -9   -9 -         -9  -9  -9  3060  1.0  3.54 -9  36.8 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202405181300 105  23  5.0  -9 -9.0   -9 1009.7 1012.7 -9  -9.0  30.6   5.7  21.0   9.2   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                       -9  -9   -9 -         -9  -9  -9  4589  1.0  3.42 -9  29.7  21.4  22.4  18.9  17.4  -9 -9.0 -9  3 -9
202405181300 106   5  1.3  -9 -9.0   -9 1008.9 1013.5 -9  -9.0  25.2   9.4  37.0  11.8   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                       -9  -9   -9 -         -9  -9  -9  5000  1.0  3.52 -9  44.1 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202405181300 108  23  3.2  -9 -9.0   -9 1006.3 1016.1 -9  -9.0  25.1  13.9  50.0  15.9   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                       -9  -9   -9 -         -9  -9  -9  2271  0.8  3.19 -9  35.0  21.7  20.4  18.0  17.5  -9 -9.0 -9  3 -9
202405181300 112  23  3.8  -9 -9.0   -9 1008.8 1016.7 -9  -9.0  23.0  15.5  63.0  17.6   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                       -9  -9   -9 -         -9  -9  -9  4991  0.9  3.35 -9  32.0  19.9  20.0  17.6  17.1  -9 -9.0 -9  3 -9
202405181300 115  20  4.3  -9 -9.0   -9  989.7 1015.0 -9  -9.0  21.6  13.2  59.0  15.2   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                       -9  -9   -9 -         -9  -9  -9  5000  1.0  3.42 -9  35.1  25.7  20.4  16.9  14.7  -9 -9.0 -9  3 -9
202405181300 119  14  2.2  -9 -9.0   -9 1012.0 1016.6 -9  -9.0  24.4  14.7  55.0  16.7   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                       -9  -9   -9 -         -9  -9  -9  5000  0.8  3.01 -9  37.3  21.8  19.0  17.4  17.1  -9 -9.0 -9  3 -9
202405181300 127  27  2.2  -9 -9.0   -9 1002.6 1015.7 -9  -9.0  25.1  11.9  44.0  13.9   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                       -9  -9   -9 -         -9  -9  -9  4994  1.0  3.58 -9  32.5 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202405181300 129  20  4.8  -9 -9.0   -9 1014.3 1017.2 -9  -9.0  22.9  14.4  59.0  16.4   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                       -9  -9   -9 -         -9  -9  -9  4403  1.0  3.52 -9  33.9  26.9  21.5  19.4  17.9  -9 -9.0 -9  3 -9
202405181300 130  18  4.5  -9 -9.0   -9 1008.4 1014.0 -9  -9.0  22.9   6.1  34.0   9.4   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                       -9  -9   -9 -         -9  -9  -9  5000  1.0 -9.00 -9  41.7 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202405181300 131  25  1.6  -9 -9.0   -9 1009.5 1016.2 -9  -9.0  25.9   9.2  35.0  11.6   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                       -9  -9   -9 -         -9  -9  -9  5000  1.0  3.62 -9  36.8 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  3 -9
202405181300 133  23  2.3  -9 -9.0   -9 1008.9 1016.6 -9  -9.0  26.0   8.0  32.0  10.7   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                       -9  -9   -9 -         -9  -9  -9  5000  1.0  3.56 -9  42.9  28.0  22.5  20.8  19.8  -9 -9.0 -9  3 -9
